3439,3913,4018,4125,4237,4310,4285,4313,4294,4268,4341,4408,4449,4467,4449,4426
3902,4169,4302,4319,4331,4426,4480,4478,4324,4301,4340,4419,4432,4434,4450,4407
3965,4054,3879,3920,4176,4188,4327,4378,3898,3925,3937,3928,4006,3941,3987,4452
4108,4266,4426,4395,4291,4414,4411,4418,4249,4254,4299,4348,4353,4371,4388,4387
4231,4295,4440,4345,4413,4308,4370,4387,4208,4231,4277,4304,4341,4385,4408,4394
4241,4359,4288,4420,4434,4360,4384,4401,4293,4218,4226,4248,4247,4271,4285,4346
4281,4371,4312,4375,4336,4295,4312,4319,4254,4241,4219,4186,4214,4243,4192,4236
4214,4372,4308,4413,4356,4264,4304,4355,4293,4290,4286,4270,4285,4249,4286,4296
4298,4296,4328,4286,4281,4249,4277,4281,4229,4273,4300,4251,4296,4305,4311,4241
4304,4275,4322,4264,4312,4263,4315,4350,4212,4268,4291,4278,4284,4300,4292,4284
