21672,38018,38988,39387,39122,38801,38881,38038,38332,37592,39400,36980,37008,38168,35879,37640
33450,39780,39713,40078,38662,39150,38386,38265,37841,36902,38862,36388,36624,37524,35270,37065
39279,39823,39341,38898,37549,38949,38494,36139,37077,36232,38179,35714,35757,36887,34875,36351
39537,38977,38096,39124,37376,37203,38255,37871,36421,35545,37002,35050,34987,35917,34025,35657
38991,38631,38356,37946,38631,37139,38249,35912,35451,34936,36447,34168,34362,35184,33529,34549
37612,38341,38608,37474,37200,38223,37865,37525,34854,34210,35562,33697,33762,34376,32531,33928
37902,38112,38982,37489,38218,38154,37863,37478,34380,33434,34760,33054,33053,33900,31995,33173
38550,38539,37870,38575,37007,38171,37604,37565,33782,32852,34162,32267,32586,33074,31360,32665
38075,36645,38563,38429,38191,38208,37893,37635,33155,32466,33736,31722,31839,32455,31145,32653
37575,36689,37903,37361,38257,36655,37350,37652,32292,31691,33310,31343,31521,32383,31151,32720
