88055,155124,199877,242397,254453,278294,288946,296694,300231,301166,295765,305792,302145,298156,300164,307133
139676,233017,250160,264184,272129,273814,272065,276734,243443,249193,248053,252528,246840,255388,238835,250735
169987,247679,256136,266624,258740,257242,255529,256379,220609,224803,223559,225210,217987,225656,215738,219929
202829,255086,253543,264558,251785,242831,245530,250520,201096,205094,201262,205083,198406,202614,190925,201952
218586,254238,249905,243539,253455,231976,235765,234200,186410,190228,186135,188679,182369,185430,178297,181483
216572,252288,244390,254065,244246,231452,231331,231983,172714,175831,172191,178219,167774,171353,164044,166773
234045,257048,252424,250886,242716,222689,218732,218377,165709,166802,160963,165566,157541,159946,153298,156342
250790,257247,251085,253521,235479,216448,210356,214272,154598,157857,150527,155064,146456,149130,141381,145214
242063,247253,244617,245696,233563,208255,205399,205624,146952,148284,141334,144967,137320,141109,135342,140452
231991,246110,244903,239049,228239,197884,199122,198543,139083,141404,134541,135989,132225,137421,131939,136482
